24 	6.57904e-06 	2.16319e-06 	5.984e-06 	2.375e-05 	
32 	1.26729e-05 	4.27467e-06 	1.1802e-05 	4.7468e-05 	
48 	3.39985e-05 	4.15102e-06 	3.2509e-05 	5.7494e-05 	
64 	0.000129509 	0.000443396 	6.4983e-05 	0.00418869 	
96 	0.000484043 	0.00177991 	0.000184033 	0.0164118 	
128 	0.000934042 	0.00187327 	0.0003927 	0.01252 	
192 	0.00243545 	0.00217652 	0.00123497 	0.00968968 	
256 	0.00441537 	0.00284467 	0.00291262 	0.0171694 	
384 	0.0114897 	0.00445547 	0.00946329 	0.0308728 	
512 	0.0270906 	0.00809082 	0.0231805 	0.0643681 	
768 	0.129767 	0.0209165 	0.115657 	0.274461 	
1024 	0.390334 	0.0244544 	0.361575 	0.517558 	
