24 	6.36742e-06 	6.29976e-06 	5.348e-06 	6.6068e-05 	
32 	1.07576e-05 	3.45268e-06 	1.005e-05 	3.9182e-05 	
48 	2.88794e-05 	7.04386e-06 	2.6928e-05 	7.2559e-05 	
64 	0.000113143 	0.000402631 	5.495e-05 	0.00366449 	
96 	0.000376414 	0.00103433 	0.000164565 	0.00826113 	
128 	0.000830696 	0.00160325 	0.000359197 	0.00881009 	
192 	0.0022791 	0.00230841 	0.00116458 	0.0136473 	
256 	0.00410999 	0.00257528 	0.00267378 	0.0171082 	
384 	0.0108975 	0.00443168 	0.00892485 	0.0335109 	
512 	0.0273966 	0.0084126 	0.0225116 	0.0614667 	
768 	0.128183 	0.0223999 	0.11413 	0.288896 	
1024 	0.387664 	0.0237727 	0.362753 	0.478989 	
